subjID	trial_number	RT	prob	reward_var	reward_fix	outcome	types	ambig	choice
5	65	851	0.5	99	50	50	ambiguous	0.25	0
5	66	878	0.25	50	50	0	low	0	0
5	67	920	0.375	52	50	50	low	0	0
5	68	772	0.25	183	50	0	low	0	1
5	69	784	0.25	184	50	0	low	0	1
5	70	957	0.5	650	50	650	ambiguous	0.25	1
5	71	746	0.5	183	50	183	ambiguous	0.75	1
5	72	784	0.5	184	50	0	ambiguous	0.25	1
5	73	750	0.125	340	50	50	low	0	0
5	74	746	0.5	50	50	0	ambiguous	0.5	0
5	75	937	0.125	184	50	50	low	0	0
5	76	836	0.125	339	50	0	low	0	1
5	77	720	0.25	50	50	50	low	0	0
5	78	729	0.25	99	50	0	low	0	1
5	79	639	0.5	183	50	183	ambiguous	0.75	1
5	80	784	0.125	99	50	0	low	0	0
5	81	599	0.25	339	50	0	low	0	1
5	82	705	0.375	50	50	0	low	0	0
5	83	817	0.125	183	50	0	low	0	0
5	84	785	0.5	97	50	0	ambiguous	0.25	1
5	85	726	0.125	183	50	50	low	0	0
5	86	1112	0.125	92	50	0	low	0	0
5	87	799	0.125	52	50	0	low	0	0
5	88	818	0.5	654	50	0	ambiguous	0.5	1
5	89	847	0.5	184	50	0	ambiguous	0.75	1
5	90	778	0.125	337	50	0	low	0	0
6	1	7265	0.25	648	50	0	low	0	1
6	2	8033	0.375	651	50	0	low	0	1
6	3	5415	0.375	338	50	338	low	0	1
6	4	5183	0.5	337	50	0	ambiguous	0.5	1
6	5	1609	0.375	54	50	0	low	0	0
6	6	3036	0.5	646	50	0	ambiguous	0.75	1
6	7	10138	0.5	49	50	50	ambiguous	0.75	0
6	8	3121	0.375	648	50	0	low	0	1
6	9	2224	0.25	176	50	50	low	0	0
6	10	3415	0.125	49	50	0	low	0	0
6	11	3309	0.5	646	50	0	ambiguous	0.25	1
6	12	5624	0.25	184	50	184	low	0	1
6	13	5032	0.5	54	50	50	ambiguous	0.75	0
6	14	5991	0.5	53	50	0	ambiguous	0.5	0
6	15	2220	0.25	176	50	0	low	0	1
6	16	665	0.25	49	50	0	low	0	0
6	17	6233	0.125	651	50	651	low	0	1
6	18	6381	0.125	91	50	0	low	0	0
6	19	15254	0.5	338	50	0	ambiguous	0.25	1
6	20	8786	0.375	337	50	0	low	0	1
6	21	11423	0.5	91	50	91	ambiguous	0.25	1
6	22	5114	0.125	99	50	50	low	0	0
6	23	2545	0.125	53	50	50	low	0	0
6	24	13957	0.5	341	50	50	ambiguous	0.5	0
6	25	1837	0.5	648	50	0	ambiguous	0.25	1
6	26	4679	0.375	91	50	0	low	0	1
6	27	2697	0.125	91	50	50	low	0	0
6	28	12661	0.5	651	50	0	ambiguous	0.75	1
6	29	1942	0.5	99	50	99	ambiguous	0.5	1
6	30	3170	0.5	99	50	99	ambiguous	0.25	1
6	31	6455	0.375	99	50	99	low	0	1
6	32	3171	0.25	651	50	0	low	0	1
6	33	5667	0.375	176	50	0	low	0	1
6	34	4606	0.5	91	50	0	ambiguous	0.75	1
6	35	9317	0.125	646	50	0	low	0	0
6	36	1734	0.5	651	50	651	ambiguous	0.5	1
6	37	6134	0.5	91	50	0	ambiguous	0.5	1
6	38	1547	0.375	91	50	0	low	0	1
6	39	729	0.5	176	50	176	ambiguous	0.25	1
6	40	4438	0.5	49	50	0	ambiguous	0.25	0
6	41	4940	0.25	54	50	50	low	0	0
6	42	1126	0.5	49	50	50	ambiguous	0.5	0
6	43	1726	0.5	176	50	50	ambiguous	0.75	0
6	44	611	0.5	341	50	341	ambiguous	0.25	1
6	45	982	0.5	91	50	91	ambiguous	0.25	1
6	46	3389	0.5	184	50	184	ambiguous	0.5	1
6	47	372	0.375	184	50	0	low	0	1
6	48	54	0.125	341	50	0	low	0	1
6	49	5306	0.25	91	50	50	low	0	0
6	50	806	0.25	91	50	50	low	0	0
6	51	2225	0.25	341	50	0	low	0	0
6	52	1382	0.5	651	50	0	ambiguous	0.25	1
6	53	4960	0.5	176	50	0	ambiguous	0.25	1
6	54	641	0.375	646	50	0	low	0	1
6	55	1525	0.5	646	50	646	ambiguous	0.5	1
6	56	1188	0.25	646	50	0	low	0	0
6	57	2095	0.375	53	50	50	low	0	0
6	58	346	0.125	54	50	50	low	0	0
6	59	4855	0.25	338	50	50	low	0	0
6	60	4182	0.25	337	50	50	low	0	0
6	61	788	0.125	338	50	50	low	0	0
6	62	2593	0.5	91	50	0	ambiguous	0.75	0
6	63	163	0.125	184	50	50	low	0	0
6	64	965	0.5	184	50	0	ambiguous	0.25	1
6	65	927	0.5	176	50	0	ambiguous	0.5	1
6	66	2085	0.125	176	50	50	low	0	0
6	67	826	0.375	341	50	341	low	0	1
6	68	5905	0.5	54	50	50	ambiguous	0.5	0
6	69	27	0.375	49	50	0	low	0	0
6	70	2324	0.25	53	50	0	low	0	0
6	71	606	0.5	648	50	648	ambiguous	0.5	1
6	72	8977	0.5	53	50	50	ambiguous	0.25	0
6	73	3788	0.125	337	50	0	low	0	0
6	74	3013	0.375	176	50	176	low	0	1
6	75	732	0.5	53	50	50	ambiguous	0.75	0
6	76	2932	0.5	648	50	0	ambiguous	0.75	1
